date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:05	268554/268554	---M-Z	200	added ('OK')	text/html	etag:%224190a-5dec8b94c17a1-gzip%22	https://themesbrand.com/velzon/html/default/index.html	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/index.html	(from )
22:20:08	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5ccf82d636e40%22	https://themesbrand.com/robots.txt		(from )
22:20:09	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-5d76f07d704ab%22	https://themesbrand.com/velzon/html/default/assets/images/favicon.ico	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:13	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-5d76f07dadd21-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:13	15563/15563	---M-Z	200	added ('OK')	text/css	etag:%223ccb-5d76f07dbe6c7-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:17	1056/1056	---M-Z	200	added ('OK')	application/javascript	etag:%22420-5d76f07d8aa94-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/layout.js	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/js/layout.js	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:18	210681/210681	---M-Z	200	added ('OK')	text/css	etag:%22336f9-5d76f07d4a33e-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:21	556862/556862	---MCZ	200	added ('OK')	text/css	etag:%2287f3e-5dcaee3f016ec-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/icons.min.css	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:22	44/44	---M--	200	added ('OK')	text/css	etag:%222c-5d8229bcc7e5e%22	https://themesbrand.com/velzon/html/default/assets/css/custom.min.css	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:23	7222/7222	---M--	200	added ('OK')	image/png	etag:%221c36-5d76f07d7144b%22	https://themesbrand.com/velzon/html/default/assets/images/logo-sm.png	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/logo-sm.png	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:24	3960/3960	---M--	200	added ('OK')	image/png	etag:%22f78-5d76f07d7144b%22	https://themesbrand.com/velzon/html/default/assets/images/logo-dark.png	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/logo-dark.png	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:24	3722/3722	---M--	200	added ('OK')	image/png	etag:%22e8a-5d76f07d7144b%22	https://themesbrand.com/velzon/html/default/assets/images/logo-light.png	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/logo-light.png	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:24	13865/13865	---M--	200	added ('OK')	image/jpeg	etag:%223629-5dcaee3f074ac%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:25	300635/300635	---M-Z	200	added ('OK')	text/css	etag:%224965b-5dec8b94aeec1-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/app.min.css	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:25	11314/11314	---M--	200	added ('OK')	image/jpeg	etag:%222c32-5dcaee3f074ac%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-3.jpg	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:25	12127/12127	---M--	200	added ('OK')	image/jpeg	etag:%222f5f-5dcaee3f074ac%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-5.jpg	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:26	266617/266617	---M-Z	200	added ('OK')	text/html	etag:%2241179-5dec8b94cc382-gzip%22	https://themesbrand.com/velzon/html/default/pages-search-results.html	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/pages-search-results.html	(from https://themesbrand.com/velzon/html/default/index.html)
22:20:28	16289/16289	---M--	200	added ('OK')	image/svg+xml	etag:%223fa1-5d76f07d7144b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/us.svg	C:/My%20Web%20Sites/admin_velzon_valid/themesbrand.com/velzon/html/default/assets/images/flags/us.svg	(from https://themesbrand.com/velzon/html/default/index.html)
